Date,Open,High,Low,Close,Volume
Sep112024,57634.67,57976.94,55591.5,57281.15,37211648000
Sep102024,57020.1,58029.98,56419.41,57648.71,28857630507
Sep92024,54851.89,58041.13,54598.43,57019.54,34618096173
Sep82024,54147.93,55300.86,53653.76,54841.57,18268287531
Sep72024,53949.09,54838.14,53740.07,54139.69,19061486526
Sep62024,56160.19,56976.11,52598.7,53948.75,49361693566
Sep52024,57971.7,58300.58,55712.45,56160.49,31030280656
Sep42024,57430.35,58511.57,55673.16,57971.54,35627680312
Sep32024,59106.19,59815.06,57425.17,57431.02,26666961053
Sep22024,57326.97,59403.07,57136.03,59112.48,27036454524
Sep12024,58969.8,59062.07,57217.82,57325.49,24592449997
Aug312024,59117.48,59432.59,58768.79,58969.9,12403470760
Aug302024,59388.6,59896.89,57768.53,59119.48,32292756405
Aug292024,59027.47,61184.08,58786.23,59388.18,32224990582
Aug282024,59507.93,60236.45,57890.68,59027.63,40289564698
Aug272024,62879.71,63210.8,58116.75,59504.13,39103882198
Aug262024,64342.23,64489.71,62849.56,62880.66,27682040631
Aug252024,64176.37,64996.42,63833.52,64333.54,18827683555
Aug242024,64103.87,64513.79,63619.92,64178.99,21430585163
Aug232024,60380.95,64947.06,60372.05,64094.36,42530509233
Aug222024,61168.32,61408.11,59815.25,60381.91,27625734377
Aug212024,59014.99,61834.35,58823.45,61175.19,32731154072
Aug202024,59493.45,61396.33,58610.88,59012.79,31613400008
Aug192024,58480.71,59612.66,57864.71,59493.45,25911207712
Aug182024,59468.13,60262.72,58445.4,58483.96,17740625837
Aug172024,58893.53,59694.67,58814.83,59478.97,13589684021
Aug162024,57560.27,59847.36,57110.02,58894.11,29350938673
Aug152024,58733.26,59838.65,56161.59,57560.1,35682112440
Aug142024,60611.05,61687.76,58472.88,58737.27,29961696180
Aug132024,59356.21,61572.4,58506.25,60609.57,30327698167
Aug122024,58719.39,60680.33,57688.9,59354.52,37078637820
Aug112024,60944.89,61778.66,58348.82,58719.48,22759754812
Aug102024,60881.23,61464.51,60287.57,60945.81,15745822278
Aug92024,61728.21,61751.86,59587.86,60880.11,33425553115
Aug82024,55030.03,62673.77,54766.73,61710.14,45298472567
Aug72024,56040.63,57726.88,54620.51,55027.46,41637562185
Aug62024,53991.35,57059.92,53973.27,56034.32,49300484106
Aug52024,58110.3,58268.83,49121.24,53991.46,108991085584
Aug42024,60676.09,61062.99,57210.8,58116.98,31758917219
Aug32024,61414.81,62148.37,59836.53,60680.09,31753030589
Aug22024,65353.5,65523.22,61184.89,61415.07,43060875727
Aug12024,64625.84,65593.24,62248.94,65357.5,40975554494
Jul312024,66201.27,66810.21,64532.05,64619.25,31292785994
Jul302024,66819.05,66987.67,65323.19,66201.02,31380492109
Jul292024,68259.05,69987.54,66532.59,66819.91,40780682628
Jul282024,67808.66,68301.85,67085.83,68255.87,18043166945
Jul272024,67911.81,69398.51,66705.22,67813.34,34691905492
Jul262024,65771.81,68207.6,65743.77,67912.06,30488630457
Jul252024,65375.88,66112.42,63473.47,65777.23,38315761670
Jul242024,65927.86,67113.98,65147,65372.13,27470942309
Jul232024,67584.8,67779.02,65484.46,65927.67,35605668666
Jul222024,68152.98,68480.06,66611.3,67585.25,42649109453
Jul212024,67164.91,68372.91,65842.3,68154.52,26652190004
Jul202024,66709.92,67610.73,66299.62,67163.65,19029581250
Jul192024,63972.32,67442.64,63329.34,66710.16,37003855410
Jul182024,64104.74,65104.66,63246.16,63974.07,27239305337
Jul172024,65091.83,66066.73,63896.09,64118.79,32525071311
Jul162024,64784.42,65354.34,62487.97,65097.15,41617346768
Jul152024,60815.46,64870.15,60704.93,64870.15,38094526099
Jul142024,59225.25,61329.53,59225.25,60787.79,22223416061
Jul132024,57908.74,59787.08,57796.44,59231.95,17080061806
Jul122024,57341.2,58532.55,56590.18,57899.46,25604805221
Jul112024,57729.89,59299.43,57120.38,57344.91,28707803842
Jul102024,58033.88,59359.43,57178.41,57742.5,26175260526
Jul92024,56704.6,58239.2,56316.88,58009.23,27849512607
Jul82024,55849.57,58131.34,54321.02,56705.1,39766159899
Jul72024,58239.43,58371.12,55793.32,55849.11,20553359505
Jul62024,56659.07,58472.55,56038.96,58303.54,20610320577
Jul52024,57022.81,57497.15,53717.38,56662.38,55417544033
Jul42024,60147.14,60399.68,56777.8,56977.7,41149609230
Jul32024,62034.33,62187.7,59419.39,60173.92,29756701685
Jul22024,62844.41,63203.36,61752.75,62029.02,20151616992
Jul12024,62673.61,63777.23,62495.51,62851.98,25468379421
Jun302024,60888.45,62892.83,60632.95,62678.29,17333226409
Jun292024,60319.88,61097.62,60300.96,60887.38,12652903396
Jun282024,61612.8,62126.1,59985.4,60320.14,24952866877
Jun272024,60811.23,62293.86,60585.33,61604.8,21231745045
Jun262024,61789.68,62434.14,60695.19,60811.28,22506003064
Jun252024,60266.28,62258.26,60239.75,61804.64,29201215431
Jun242024,63173.35,63292.53,58601.7,60277.41,43152133651
Jun232024,64248.96,64491.7,63180.8,63180.8,11170471802
Jun222024,64113.86,64475.47,63929.76,64252.58,9858198793
Jun212024,64837.99,65007.55,63378.89,64096.2,26188171739
Jun202024,64960.3,66438.96,64547.85,64828.66,25641109124
Jun192024,65146.66,65695.35,64693.3,64960.3,21103423504
Jun182024,66490.98,66556.7,64066.96,65140.75,39481285950
Jun172024,66636.52,67188.32,65094.96,66490.3,30006354476
Jun162024,66189.36,66894.84,66018.25,66639.05,13281140541
Jun152024,66006.74,66402.19,65871.77,66191,14121265576
Jun142024,66747.57,67294.65,65056.89,66011.09,27403884779
Jun132024,68243.1,68365.78,66304.56,66756.4,28955204146
Jun122024,67321.38,69977.89,66902.45,68241.19,34497940694
Jun112024,69508.08,69549.41,66123.6,67332.03,37116136345
Jun102024,69644.31,70146.07,69232.42,69512.28,20597699541
Jun92024,69297.49,69817.52,69160.84,69647.99,13534028500
Jun82024,69324.18,69533.32,69210.74,69305.77,14262185861
Jun72024,70759.19,71907.85,68507.26,69342.59,36188381096
Jun62024,71082.84,71625.73,70119.13,70757.16,25223152007
Jun52024,70568.35,71735.41,70390.71,71082.82,32810771409
Jun42024,68804.57,71047.41,68564.64,70567.77,33149696545
Jun32024,67753.9,70230.82,67589.84,68804.78,32401285324
Jun22024,67710.27,68409.16,67315.52,67751.6,17110588415
Jun12024,67489.61,67839.77,67386.2,67706.94,11641495604
May312024,68362.52,68999.56,66633.42,67491.41,27387283769
May302024,67576.09,69500.54,67118.08,68364.99,29509712534
May292024,68296.35,68852.46,67101.49,67578.09,26707072906
